Date,Open,High,Low,Close
02/01/01,1320.280029,1320.280029,1276.050049,1283.27002
03/01/01,1283.27002,1347.76001,1274.619995,1347.560059
04/01/01,1347.560059,1350.23999,1329.140015,1333.339966
05/01/01,1333.339966,1334.77002,1294.949951,1298.349976
08/01/01,1298.349976,1298.349976,1276.290039,1295.859985
09/01/01,1295.859985,1311.719971,1295.140015,1300.800049
10/01/01,1300.800049,1313.76001,1287.280029,1313.27002
11/01/01,1313.27002,1332.189941,1309.719971,1326.819946
12/01/01,1326.819946,1333.209961,1311.589966,1318.550049
16/01/01,1318.319946,1327.810059,1313.329956,1326.650024
17/01/01,1326.650024,1346.920044,1325.410034,1329.469971
18/01/01,1329.890015,1352.709961,1327.410034,1347.969971
19/01/01,1347.969971,1354.550049,1336.73999,1342.540039
22/01/01,1342.540039,1353.619995,1333.839966,1342.900024
23/01/01,1342.900024,1362.900024,1339.630005,1360.400024
24/01/01,1360.400024,1369.75,1357.280029,1364.300049
25/01/01,1364.300049,1367.349976,1354.630005,1357.51001
26/01/01,1357.51001,1357.51001,1342.75,1354.949951
29/01/01,1354.920044,1365.540039,1350.359985,1364.170044
30/01/01,1364.170044,1375.680054,1356.199951,1373.72998
31/01/01,1373.72998,1383.369995,1364.660034,1366.01001
01/02/01,1366.01001,1373.5,1359.339966,1373.469971
02/02/01,1373.469971,1376.380005,1348.719971,1349.469971
05/02/01,1349.469971,1354.560059,1344.47998,1354.310059
06/02/01,1354.310059,1363.550049,1350.040039,1352.26001
07/02/01,1352.26001,1352.26001,1334.26001,1340.890015
08/02/01,1341.099976,1350.319946,1332.420044,1332.530029
09/02/01,1332.530029,1332.530029,1309.97998,1314.76001
12/02/01,1314.76001,1330.959961,1313.640015,1330.310059
13/02/01,1330.310059,1336.619995,1317.51001,1318.800049
14/02/01,1318.800049,1320.72998,1304.719971,1315.920044
15/02/01,1315.920044,1331.290039,1315.920044,1326.609985
16/02/01,1326.609985,1326.609985,1293.180054,1301.530029
20/02/01,1301.530029,1307.160034,1278.439941,1278.939941
21/02/01,1278.939941,1282.969971,1253.160034,1255.27002
22/02/01,1255.27002,1259.939941,1228.329956,1252.819946
23/02/01,1252.819946,1252.819946,1215.439941,1245.859985
26/02/01,1245.859985,1267.689941,1241.709961,1267.650024
27/02/01,1267.650024,1272.76001,1252.26001,1257.939941
28/02/01,1257.939941,1263.469971,1229.650024,1239.939941
01/03/01,1239.939941,1241.359985,1214.5,1241.22998
02/03/01,1241.22998,1251.01001,1219.73999,1234.180054
05/03/01,1234.180054,1242.550049,1234.040039,1241.410034
06/03/01,1241.410034,1267.420044,1241.410034,1253.800049
07/03/01,1253.800049,1263.859985,1253.800049,1261.890015
08/03/01,1261.890015,1266.5,1257.599976,1264.73999
09/03/01,1264.73999,1264.73999,1228.420044,1233.420044
12/03/01,1233.420044,1233.420044,1176.780029,1180.160034
13/03/01,1180.160034,1197.829956,1171.5,1197.660034
14/03/01,1197.660034,1197.660034,1155.349976,1166.709961
15/03/01,1166.709961,1182.040039,1166.709961,1173.560059
16/03/01,1173.560059,1173.560059,1148.640015,1150.530029
19/03/01,1150.530029,1173.5,1147.180054,1170.810059
20/03/01,1170.810059,1180.560059,1142.189941,1142.619995
21/03/01,1142.619995,1149.390015,1118.73999,1122.140015
22/03/01,1122.140015,1124.27002,1081.189941,1117.579956
23/03/01,1117.579956,1141.829956,1117.579956,1139.829956
26/03/01,1139.829956,1160.02002,1139.829956,1152.689941
27/03/01,1152.689941,1183.349976,1150.959961,1182.170044
28/03/01,1182.170044,1182.170044,1147.829956,1153.290039
29/03/01,1153.290039,1161.689941,1136.26001,1147.949951
30/03/01,1147.949951,1162.800049,1143.829956,1160.329956
02/04/01,1160.329956,1169.51001,1137.51001,1145.869995
03/04/01,1145.869995,1145.869995,1100.189941,1106.459961
04/04/01,1106.459961,1117.5,1091.98999,1103.25
05/04/01,1103.25,1151.469971,1103.25,1151.439941
06/04/01,1151.439941,1151.439941,1119.290039,1128.430054
09/04/01,1128.430054,1146.130005,1126.380005,1137.589966
10/04/01,1137.589966,1173.920044,1137.589966,1168.380005
11/04/01,1168.380005,1182.23999,1160.26001,1165.890015
12/04/01,1165.890015,1183.51001,1157.72998,1183.5
16/04/01,1183.5,1184.640015,1167.380005,1179.680054
17/04/01,1179.680054,1192.25,1168.900024,1191.810059
18/04/01,1191.810059,1248.420044,1191.810059,1238.160034
19/04/01,1238.160034,1253.709961,1233.390015,1253.689941
20/04/01,1253.699951,1253.699951,1234.410034,1242.97998
23/04/01,1242.97998,1242.97998,1217.469971,1224.359985
24/04/01,1224.359985,1233.540039,1208.890015,1209.469971
25/04/01,1209.469971,1232.359985,1207.380005,1228.75
26/04/01,1228.75,1248.300049,1228.75,1234.52002
27/04/01,1234.52002,1253.069946,1234.52002,1253.050049
30/04/01,1253.050049,1269.300049,1243.98999,1249.459961
01/05/01,1249.459961,1266.469971,1243.550049,1266.439941
02/05/01,1266.439941,1272.930054,1257.699951,1267.430054
03/05/01,1267.430054,1267.430054,1239.880005,1248.579956
04/05/01,1248.579956,1267.51001,1232,1266.609985
07/05/01,1266.609985,1270,1259.189941,1263.51001
08/05/01,1266.709961,1267.01001,1253,1261.199951
09/05/01,1261.199951,1261.650024,1247.829956,1255.540039
10/05/01,1255.540039,1268.140015,1254.560059,1255.180054
11/05/01,1255.180054,1259.839966,1240.790039,1245.670044
14/05/01,1245.670044,1249.680054,1241.02002,1248.920044
15/05/01,1248.920044,1257.449951,1245.359985,1249.439941
16/05/01,1249.439941,1286.390015,1243.02002,1284.98999
17/05/01,1284.98999,1296.47998,1282.650024,1288.48999
18/05/01,1288.48999,1292.060059,1281.150024,1291.959961
21/05/01,1291.959961,1312.949951,1287.869995,1312.829956
22/05/01,1312.829956,1315.930054,1306.890015,1309.380005
23/05/01,1309.380005,1309.380005,1288.699951,1289.050049
24/05/01,1289.050049,1295.040039,1281.219971,1293.170044
25/05/01,1293.170044,1293.170044,1276.420044,1277.890015
29/05/01,1277.890015,1278.420044,1265.410034,1267.930054
30/05/01,1267.930054,1267.930054,1245.959961,1248.079956
31/05/01,1248.079956,1261.910034,1248.069946,1255.819946
01/06/01,1255.819946,1265.339966,1246.880005,1260.670044
04/06/01,1260.670044,1267.170044,1256.359985,1267.109985
05/06/01,1267.109985,1286.619995,1267.109985,1283.569946
06/06/01,1283.569946,1283.849976,1269.01001,1270.030029
07/06/01,1270.030029,1277.079956,1265.079956,1276.959961
08/06/01,1276.959961,1277.109985,1259.98999,1264.959961
11/06/01,1264.959961,1264.959961,1249.22998,1254.390015
12/06/01,1254.390015,1261,1235.75,1255.849976
